date,asset,score
2024-12-11,000157.SZ,-0.10832492615390121
2024-12-12,000157.SZ,0.052206742725858124
2024-12-13,000157.SZ,-0.010220658212728453
2024-12-16,000157.SZ,0.008638522992405251
2024-12-17,000157.SZ,-0.027547535683322827
2024-12-18,000157.SZ,-0.08957229924435096
2024-12-19,000157.SZ,-0.23467622790456238
2024-12-20,000157.SZ,-0.3975471334755238
2024-12-23,000157.SZ,-0.5218179582723842
2024-12-24,000157.SZ,-0.795502197377238
2024-12-25,000157.SZ,-0.6523990049842843
2024-12-26,000157.SZ,-0.5568398962934947
2024-12-27,000157.SZ,-0.5033364180372094
2024-12-30,000157.SZ,-0.48592704450911006
2024-12-31,000157.SZ,-0.5237114244201447
2024-10-08,000166.SZ,-0.3767723039822438
2024-10-09,000166.SZ,-0.5422586338097094
2024-10-10,000166.SZ,-0.4267753531981513
2024-10-11,000166.SZ,-0.5382823669201804
2024-10-14,000166.SZ,-0.5086295852732206
2024-10-15,000166.SZ,-0.7943599407586384
2024-10-16,000166.SZ,-0.6951680024788339
2024-10-17,000166.SZ,-0.6556637773506004
2024-10-18,000166.SZ,-0.5947527466374669
2024-10-21,000166.SZ,-0.4540106182553421
2024-10-22,000166.SZ,-0.4905622074060768
2024-10-23,000166.SZ,-0.2661678088630045
2024-10-24,000166.SZ,-0.2117582502708989
2024-10-25,000166.SZ,-0.19589990831183735
2024-10-28,000166.SZ,-0.21726340259046648
2024-10-29,000166.SZ,-0.20379489553142166
2024-10-30,000166.SZ,-0.11795028575827085
2024-10-31,000166.SZ,-0.2545251472196089
2024-11-01,000166.SZ,-0.43009353007368406
2024-11-04,000166.SZ,-0.6712020052223295
2024-11-05,000166.SZ,-0.7317015115104086
2024-11-06,000166.SZ,-0.6004276058364659
2024-11-07,000166.SZ,-0.5747284720795962
2024-11-08,000166.SZ,-0.40263067106126665
2024-11-11,000166.SZ,-0.5284286870796984
2024-11-12,000166.SZ,-0.5309727683564935
2024-11-13,000166.SZ,-0.3976021479713642
2024-11-14,000166.SZ,-0.2982000256093994
2024-11-15,000166.SZ,-0.05534813672060825
2024-11-18,000166.SZ,-0.3652249142880619
2024-11-19,000166.SZ,-0.6320930015008388
2024-11-20,000166.SZ,-0.7040400111367855
2024-11-21,000166.SZ,-0.7052801604997383
2024-11-22,000166.SZ,-0.6433047411072735
2024-11-25,000166.SZ,-0.6100748384729173
2024-11-26,000166.SZ,-0.5396836782491568
2024-11-27,000166.SZ,-0.3883383551589158
2024-11-28,000166.SZ,-0.2934955764603308
2024-11-29,000166.SZ,-0.22867012288909935
2024-12-02,000166.SZ,-0.3169316088377146
2024-12-03,000166.SZ,-0.475377074290928
2024-12-04,000166.SZ,-0.5323852651928439
2024-12-05,000166.SZ,-0.4571635614841455
2024-12-06,000166.SZ,-0.2327089919093696
2024-12-09,000166.SZ,-0.06607279257813178
2024-12-10,000166.SZ,-0.3039727080498989
2024-12-11,000166.SZ,-0.3635472612961683
2024-12-12,000166.SZ,-0.5536604460363224
2024-12-13,000166.SZ,-0.6984506992233894
2024-12-16,000166.SZ,-0.6791634372950381
2024-12-17,000166.SZ,-0.5854464297329582
2024-12-18,000166.SZ,-0.4376927157249808
2024-12-19,000166.SZ,-0.3739313325138659
2024-12-20,000166.SZ,-0.41080958969437287
2024-12-23,000166.SZ,-0.3927354112257298
2024-12-24,000166.SZ,-0.22401761254708139
2024-12-25,000166.SZ,-0.3089951408557435
2024-12-26,000166.SZ,-0.3722724855843642
2024-12-27,000166.SZ,-0.4714053926148633
2024-12-30,000166.SZ,-0.589546480054825
2024-12-31,000166.SZ,-0.6795434166691234
2024-10-08,000301.SZ,-0.6387844852021265
2024-10-09,000301.SZ,-0.6211327521384824
2024-10-10,000301.SZ,-0.705845234327462
2024-10-11,000301.SZ,-0.6320359022049002
2024-10-14,000301.SZ,-0.7526671530949943
2024-10-15,000301.SZ,-0.7515481758232245
2024-10-16,000301.SZ,-0.6529328216709029
2024-10-17,000301.SZ,-0.5372213492734366
2024-10-18,000301.SZ,-0.356046062831248
2024-10-21,000301.SZ,-0.37017478172610413
2024-10-22,000301.SZ,-0.33918031007603205
2024-10-23,000301.SZ,-0.438740447223917
2024-10-24,000301.SZ,-0.44667921938290706
2024-10-25,000301.SZ,-0.7021942543545902
2024-10-28,000301.SZ,-0.6140232735501142
2024-10-29,000301.SZ,-0.49251647868256415
2024-10-30,000301.SZ,-0.24178912182120404
2024-10-31,000301.SZ,-0.01288041353927484
2024-11-01,000301.SZ,0.05337411082017766
2024-11-04,000301.SZ,-0.09135658230672297
2024-11-05,000301.SZ,-0.22659947589516446
2024-11-06,000301.SZ,-0.4361577821623859
2024-11-07,000301.SZ,-0.34695555483827833
2024-11-08,000301.SZ,-0.4547324066518991
2024-11-11,000301.SZ,-0.3722514590858482
2024-11-12,000301.SZ,-0.5827964861763386
2024-11-13,000301.SZ,-0.6864338273865298
2024-11-14,000301.SZ,-0.8983743566069677
2024-11-15,000301.SZ,-1.0185030128757226
2024-11-18,000301.SZ,-1.0688021006098993
2024-11-19,000301.SZ,-1.0846685889061223
2024-11-20,000301.SZ,-1.0516488512536792
2024-11-21,000301.SZ,-0.9216734580919721
2024-11-22,000301.SZ,-0.8663958143684272
2024-11-25,000301.SZ,-0.6985003748367288
2024-11-26,000301.SZ,-0.8183372361538499
2024-11-27,000301.SZ,-0.7421629747622228
2024-11-28,000301.SZ,-0.8843272474099946
2024-11-29,000301.SZ,-0.7700275314816017
2024-12-02,000301.SZ,-0.5869267485215195
2024-12-03,000301.SZ,-0.611412285170416
2024-12-04,000301.SZ,-0.6987970011353555
2024-12-05,000301.SZ,-0.6183728417778356
2024-12-06,000301.SZ,-0.47893747752572624
2024-12-09,000301.SZ,-0.3764338448478849
2024-12-10,000301.SZ,-0.42871054046225654
2024-12-11,000301.SZ,-0.4819032877454952
2024-12-12,000301.SZ,-0.5636150766003887
2024-12-13,000301.SZ,-0.48396312038368616
2024-12-16,000301.SZ,-0.5888285079720983
2024-12-17,000301.SZ,-0.5266166249452187
2024-12-18,000301.SZ,-0.334784388909969
2024-12-19,000301.SZ,-0.3380842553068896
2024-12-20,000301.SZ,-0.362676157591575
2024-12-23,000301.SZ,-0.70983569262505
2024-12-24,000301.SZ,-0.7866331669319215
2024-12-25,000301.SZ,-0.7352107525856771
2024-12-26,000301.SZ,-0.7513729232298652
2024-12-27,000301.SZ,-0.6262041956130311
2024-12-30,000301.SZ,-0.5723848388281341
2024-12-31,000301.SZ,-0.3980439136035221
2024-10-08,000333.SZ,-0.7482125141211093
2024-10-09,000333.SZ,-0.8736073172525796
2024-10-10,000333.SZ,-0.8853660879443983
2024-10-11,000333.SZ,-0.4646958169567166
2024-10-14,000333.SZ,-0.29229587657749667
2024-10-15,000333.SZ,-0.3148487413174804
2024-10-16,000333.SZ,-0.30912513958562615
2024-10-17,000333.SZ,-0.47728186888811164
2024-10-18,000333.SZ,-0.47235113422436326
2024-10-21,000333.SZ,-0.7544376820335585
2024-10-22,000333.SZ,-0.7552179321548965
2024-10-23,000333.SZ,-0.6498166770387979
2024-10-24,000333.SZ,-0.6220221028263907
2024-10-25,000333.SZ,-0.6587874553932158
2024-10-28,000333.SZ,-0.544407981928364
2024-10-29,000333.SZ,-0.2856247167122933
2024-10-30,000333.SZ,-0.3448539681127898
2024-10-31,000333.SZ,-0.259617244903507
2024-11-01,000333.SZ,-0.13447893806890523
2024-11-04,000333.SZ,0.04557566129585902
2024-11-05,000333.SZ,0.24218291616576346
2024-11-06,000333.SZ,0.2582458168204876
2024-11-07,000333.SZ,0.25086217315828124
2024-11-08,000333.SZ,0.16912057588564397
2024-11-11,000333.SZ,-0.03796907308316237
2024-11-12,000333.SZ,-0.3263911146212121
2024-11-13,000333.SZ,-0.4422767577695956
2024-11-14,000333.SZ,-0.27064849798089324
2024-11-15,000333.SZ,-0.055744615168215994
2024-11-18,000333.SZ,0.041829318313124794
2024-11-19,000333.SZ,-0.1511845692909968
2024-11-20,000333.SZ,-0.2924844169390311
2024-11-21,000333.SZ,-0.5641671747398024
2024-11-22,000333.SZ,-0.7052093702942629
2024-11-25,000333.SZ,-0.8106740115060024
2024-11-26,000333.SZ,-0.7400284817926823
2024-11-27,000333.SZ,-0.7586499379679392
2024-11-28,000333.SZ,-0.66769256850155
2024-11-29,000333.SZ,-0.6959655595918319
2024-12-02,000333.SZ,-0.4573148938052306
2024-12-03,000333.SZ,-0.31815313760127384
2024-12-04,000333.SZ,-0.2000843307379683
2024-12-05,000333.SZ,-0.35900499750137604
2024-12-06,000333.SZ,-0.4101708127386144
2024-12-09,000333.SZ,-0.4773822078797503
2024-12-10,000333.SZ,-0.3515028344926114
2024-12-11,000333.SZ,-0.3706037871794585
2024-12-12,000333.SZ,-0.3470365001837876
2024-12-13,000333.SZ,-0.4486502556489366
2024-12-16,000333.SZ,-0.42970191520255374
2024-12-17,000333.SZ,-0.2078476309911473
2024-12-18,000333.SZ,-0.23926628046904014
2024-12-19,000333.SZ,-0.3018140872874568
2024-12-20,000333.SZ,-0.47415983152760477
2024-12-23,000333.SZ,-0.48726501125165333
2024-12-24,000333.SZ,-0.5016838348796524
2024-12-25,000333.SZ,-0.5074731323733527
2024-12-26,000333.SZ,-0.5363817690665678
2024-12-27,000333.SZ,-0.5753876734258082
2024-12-30,000333.SZ,-0.48327891082457647
2024-12-31,000333.SZ,-0.6325541446396837
2024-10-08,000338.SZ,-0.5538839791113919
2024-10-09,000338.SZ,-0.46167979124945896
2024-10-10,000338.SZ,-0.5732366240380418
2024-10-11,000338.SZ,-0.5370644498286327
2024-10-14,000338.SZ,-0.6444820392360582
2024-10-15,000338.SZ,-0.4281594295455723
2024-10-16,000338.SZ,-0.42712654681758544
2024-10-17,000338.SZ,-0.444014527044054
2024-10-18,000338.SZ,-0.4190919978204184
2024-10-21,000338.SZ,-0.5324439159753458
2024-10-22,000338.SZ,-0.16590784795244928
2024-10-23,000338.SZ,0.006697231115761627
2024-10-24,000338.SZ,-0.014626862071757646
2024-10-25,000338.SZ,-0.18342893091801973
2024-10-28,000338.SZ,-0.5200474788042199
2024-10-29,000338.SZ,-0.46060176228132377
2024-10-30,000338.SZ,-0.30271591945015064
2024-10-31,000338.SZ,-0.32821658772677176
2024-11-01,000338.SZ,-0.2400105772257455
2024-11-04,000338.SZ,-0.2599980427294073
2024-11-05,000338.SZ,-0.18889041162741077
2024-11-06,000338.SZ,-0.26282101583951184
2024-11-07,000338.SZ,-0.4305402527345483
2024-11-08,000338.SZ,-0.5147427539789938
2024-11-11,000338.SZ,-0.5790675924681786
2024-11-12,000338.SZ,-0.49199845822978344
2024-11-13,000338.SZ,-0.3530482978429257
2024-11-14,000338.SZ,-0.36704085955983623
2024-11-15,000338.SZ,-0.3815620039737538
2024-11-18,000338.SZ,-0.4417121187445797
2024-11-19,000338.SZ,-0.2894013710601165
2024-11-20,000338.SZ,-0.23950635399951287
2024-11-21,000338.SZ,-0.5349695078967498
2024-11-22,000338.SZ,-0.702452767103811
2024-11-25,000338.SZ,-0.782994931567889
